frame,timestamp_ms,red_x_visible,red_y_visible,red_w_visible,red_h_visible,red_area,scale_vs_298_if_full_width,inferred_top_y_if_full_width,visible_bottom_y,red_cx,red_cy
54,900.0,0.0,0.0,230.0,368.0,68068.0,0.7718120805369127,104.04026845637583,368.0,109.16054533701592,164.6391402714932
55,916.6666666666666,2.0,0.0,234.0,368.0,69640.0,0.785234899328859,99.44966442953023,368.0,113.93773693279724,165.14490235496842
56,933.3333333333334,4.0,0.0,240.0,370.0,71177.0,0.8053691275167785,94.56375838926175,370.0,118.71901035446844,165.63564072663922
57,950.0,6.0,0.0,244.0,370.0,72586.0,0.8187919463087249,89.9731543624161,370.0,123.20348276527154,166.05067092827818
58,966.6666666666666,8.0,0.0,248.0,370.0,74036.0,0.8322147651006712,85.38255033557044,370.0,127.51803176832892,166.7831730509482
59,983.3333333333334,10.0,0.0,252.0,370.0,75238.0,0.8456375838926175,80.79194630872485,370.0,131.8516175336931,166.98450251202848
60,1000.0,10.0,0.0,258.0,370.0,76519.0,0.8657718120805369,73.90604026845637,370.0,135.8924842196056,167.73713718161503
61,1016.6666666666666,12.0,0.0,260.0,372.0,78012.0,0.87248322147651,73.6107382550336,372.0,139.29991539763114,168.69538019791827
62,1033.3333333333333,14.0,0.0,264.0,372.0,79037.0,0.8859060402684564,69.02013422818789,372.0,143.20667535458077,169.36097017852398
63,1050.0,16.0,0.0,268.0,372.0,79063.0,0.8993288590604027,64.42953020134229,372.0,147.6161795024221,171.66758154889138
64,1066.6666666666667,16.0,0.0,272.0,372.0,78057.0,0.912751677852349,59.838926174496635,372.0,151.49918649192256,176.38199008416927
65,1083.3333333333333,18.0,0.0,274.0,374.0,76694.0,0.9194630872483222,59.54362416107381,374.0,154.15650507210472,181.7318564685634
66,1100.0,18.0,0.0,280.0,374.0,75204.0,0.9395973154362416,52.657718120805384,374.0,156.97142439231956,186.18249029306952
67,1116.6666666666667,20.0,8.0,282.0,366.0,74123.0,0.9463087248322147,50.36241610738256,374.0,159.0700592258813,190.43980950582144
68,1133.3333333333333,20.0,0.0,286.0,374.0,77421.0,0.959731543624161,45.771812080536904,374.0,161.46226476020718,184.3591532013278
69,1150.0,22.0,0.0,288.0,376.0,78034.0,0.9664429530201343,45.47651006711408,376.0,163.80732757515955,184.1723351359664
70,1166.6666666666667,24.0,0.0,290.0,376.0,78558.0,0.9731543624161074,43.18120805369125,376.0,166.47899641029557,183.9149290969729
71,1183.3333333333333,24.0,0.0,294.0,376.0,79189.0,0.9865771812080537,38.590604026845654,376.0,169.00388942908737,183.69369483135284
72,1200.0,24.0,0.0,298.0,376.0,79911.0,1.0,34.0,376.0,171.39405088160578,183.5726871144148
73,1216.6666666666667,26.0,0.0,300.0,378.0,80381.0,1.0067114093959733,33.70469798657717,378.0,173.89165350020528,183.24454784090767
74,1233.3333333333333,28.0,0.0,300.0,378.0,80812.0,1.0067114093959733,33.70469798657717,378.0,176.27222442211553,183.25488788793743
75,1250.0,30.0,0.0,302.0,378.0,81147.0,1.0134228187919463,31.409395973154346,378.0,178.70919442493252,183.27225898677708
76,1266.6666666666667,30.0,0.0,304.0,378.0,81393.0,1.0201342281879195,29.11409395973152,378.0,180.8937623628568,183.3040433452508
77,1283.3333333333333,32.0,0.0,306.0,378.0,81319.0,1.0268456375838926,26.81879194630875,378.0,183.14679226257087,183.24001770803872
78,1300.0,34.0,0.0,308.0,378.0,81576.0,1.0335570469798658,24.523489932885866,378.0,185.2558595665392,183.50490340296165
79,1316.6666666666667,36.0,0.0,308.0,378.0,81395.0,1.0335570469798658,24.523489932885866,378.0,187.39294796977703,183.44018674365748
